DATA INICIAL,DATA FINAL,ESTADO,CIDADE,PRODUTO,NUMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PRECO MEDIO REVENDA,DESVIO PADRAO REVENDA,PRECO MINIMO REVENDA,PRECO MAXIMO REVENDA,COEF DE VARIACAO REVENDA
8/4/2024,8/10/2024,MARANHAO,ACAILANDIA,ETANOL HIDRATADO,3,R$/l,"4,85","0,058","4,79","4,89","0,012"
8/4/2024,8/10/2024,GOIAS,AGUAS LINDAS DE GOIAS,ETANOL HIDRATADO,8,R$/l,"3,96","0,045","3,89","3,99","0,011"
8/4/2024,8/10/2024,BAHIA,ALAGOINHAS,ETANOL HIDRATADO,8,R$/l,"4,73","0,051","4,69","4,85","0,011"
8/4/2024,8/10/2024,MINAS GERAIS,ALFENAS,ETANOL HIDRATADO,9,R$/l,"3,96","0,125","3,85","4,15","0,032"
8/4/2024,8/10/2024,PARA,ALTAMIRA,ETANOL HIDRATADO,2,R$/l,"5,48","0,000","5,48","5,48","0,000"
8/4/2024,8/10/2024,SAO PAULO,AMERICANA,ETANOL HIDRATADO,13,R$/l,"3,81","0,159","3,57","3,99","0,042"
8/4/2024,8/10/2024,GOIAS,ANAPOLIS,ETANOL HIDRATADO,15,R$/l,"4,24","0,194","4,17","4,94","0,046"
8/4/2024,8/10/2024,RIO DE JANEIRO,ANGRA DOS REIS,ETANOL HIDRATADO,3,R$/l,"5,08","0,057","5,04","5,15","0,011"
8/4/2024,8/10/2024,GOIAS,APARECIDA DE GOIANIA,ETANOL HIDRATADO,18,R$/l,"3,86","0,181","3,65","4,47","0,047"
8/4/2024,8/10/2024,PARANA,APUCARANA,ETANOL HIDRATADO,7,R$/l,"4,29","0,065","4,19","4,38","0,015"
8/4/2024,8/10/2024,SERGIPE,ARACAJU,ETANOL HIDRATADO,14,R$/l,"4,87","0,088","4,75","4,99","0,018"
8/4/2024,8/10/2024,SAO PAULO,ARACATUBA,ETANOL HIDRATADO,14,R$/l,"3,57","0,087","3,39","3,69","0,024"
8/4/2024,8/10/2024,TOCANTINS,ARAGUAINA,ETANOL HIDRATADO,10,R$/l,"4,48","0,346","3,99","4,82","0,077"
