CNPJ,RAZAO,FANTASIA,ENDEREÇO,NUMERO,COMPLEMENTO,BAIRRO,CEP,MUNICIPIO,ESTADO,BANDEIRA,PRODUTO,UNIDADE DE MEDIDA,PRECO DE REVENDA,DATA DA COLETA
 61.602.199/0024-09,COMPANHIA ULTRAGAZ S A,ULTRAGAZ,RUA AMARO CASTRO LIMA,1852,,VILA NOVA CAMPO GRANDE,79106-361,CAMPO GRANDE,MATO GROSSO DO SUL,ULTRAGAZ,GLP,R$ / 13 kg,"110,00",8/27/2024
 00.003.188/0001-21,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,COMPETRO,RUA HUMBERTO DE CAMPOS,306,,JARDIM ZULMIRA,18061-000,SOROCABA,SAO PAULO,BRANCA,GASOLINA COMUM,R$ / litro,"5,43",8/26/2024
 00.003.188/0001-21,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,COMPETRO,RUA HUMBERTO DE CAMPOS,306,,JARDIM ZULMIRA,18061-000,SOROCABA,SAO PAULO,BRANCA,ETANOL,R$ / litro,"3,54",8/26/2024
 19.791.896/0086-91,SUPERGASBRAS ENERGIA LTDA,SUPERGASBRAS ENERGIA,RUA   NILO JAVARI BAREM,841,,VILA ELIANE,79103-280,CAMPO GRANDE,MATO GROSSO DO SUL,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,"110,00",8/27/2024
 19.791.896/0070-24,SUPERGASBRAS ENERGIA LTDA,SUPERGASBRAS ENERGIA,AVENIDA DEP. PLINIO RIBEIRO,3220,,JARDIM PALMEIRAS,39402-194,MONTES CLAROS,MINAS GERAIS,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,"110,00",8/28/2024
 03.608.766/0005-75,CARDINAL E OLIVEIRA LTDA,ACREGÁS,AVENIDA BOULEVARD THAUMATURGO,1031,,CENTRO,69980-000,CRUZEIRO DO SUL,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,"7,53",8/28/2024
 03.608.766/0005-75,CARDINAL E OLIVEIRA LTDA,ACREGÁS,AVENIDA BOULEVARD THAUMATURGO,1031,,CENTRO,69980-000,CRUZEIRO DO SUL,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,"7,63",8/28/2024
 03.608.766/0005-75,CARDINAL E OLIVEIRA LTDA,ACREGÁS,AVENIDA BOULEVARD THAUMATURGO,1031,,CENTRO,69980-000,CRUZEIRO DO SUL,ACRE,VIBRA,DIESEL S500,R$ / litro,"7,73",8/28/2024
 03.608.766/0005-75,CARDINAL E OLIVEIRA LTDA,ACREGÁS,AVENIDA BOULEVARD THAUMATURGO,1031,,CENTRO,69980-000,CRUZEIRO DO SUL,ACRE,VIBRA,DIESEL S10,R$ / litro,"7,73",8/28/2024
 01.492.748/0003-83,AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,,AVENIDA COPACABANA,440,,COPACABANA,69980-000,CRUZEIRO DO SUL,ACRE,IPIRANGA,GASOLINA COMUM,R$ / litro,"7,53",8/28/2024
 01.492.748/0003-83,AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,,AVENIDA COPACABANA,440,,COPACABANA,69980-000,CRUZEIRO DO SUL,ACRE,IPIRANGA,GASOLINA ADITIVADA,R$ / litro,"7,62",8/28/2024
 01.492.748/0003-83,AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,,AVENIDA COPACABANA,440,,COPACABANA,69980-000,CRUZEIRO DO SUL,ACRE,IPIRANGA,DIESEL S500,R$ / litro,"7,73",8/28/2024
 01.492.748/0003-83,AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,,AVENIDA COPACABANA,440,,COPACABANA,69980-000,CRUZEIRO DO SUL,ACRE,IPIRANGA,DIESEL S10,R$ / litro,"7,73",8/28/2024
 01.492.748/0003-83,AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,,AVENIDA COPACABANA,440,,COPACABANA,69980-000,CRUZEIRO DO SUL,ACRE,IPIRANGA,ETANOL,R$ / litro,"5,24",8/28/2024
 08.220.930/0001-62,CODEPE COMBUSTIVEIS LTDA,CODEPE,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2,2755,LOTE  01/02/03/04/05 E 33,PORTAL DA AMAZONIA,69915-630,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,"125,00",8/29/2024
 08.220.930/0001-62,CODEPE COMBUSTIVEIS LTDA,CODEPE,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2,2755,LOTE  01/02/03/04/05 E 33,PORTAL DA AMAZONIA,69915-630,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,"7,14",8/29/2024
 08.220.930/0001-62,CODEPE COMBUSTIVEIS LTDA,CODEPE,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2,2755,LOTE  01/02/03/04/05 E 33,PORTAL DA AMAZONIA,69915-630,RIO BRANCO,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,"7,14",8/29/2024
 08.220.930/0001-62,CODEPE COMBUSTIVEIS LTDA,CODEPE,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2,2755,LOTE  01/02/03/04/05 E 33,PORTAL DA AMAZONIA,69915-630,RIO BRANCO,ACRE,VIBRA,DIESEL S500,R$ / litro,"7,14",8/29/2024
 08.220.930/0001-62,CODEPE COMBUSTIVEIS LTDA,CODEPE,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2,2755,LOTE  01/02/03/04/05 E 33,PORTAL DA AMAZONIA,69915-630,RIO BRANCO,ACRE,VIBRA,DIESEL S10,R$ / litro,"7,19",8/29/2024
 08.220.930/0001-62,CODEPE COMBUSTIVEIS LTDA,CODEPE,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2,2755,LOTE  01/02/03/04/05 E 33,PORTAL DA AMAZONIA,69915-630,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,"4,89",8/29/2024
 04.594.586/0001-10,AUTO POSTO ISAURAO LTDA,,RUA ISAURA PARENTE,1412,,ESTACAO EXPERIMENTAL,69918-216,RIO BRANCO,ACRE,AMAZONGÁS,GLP,R$ / 13 kg,"110,00",8/28/2024
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,"127,00",8/29/2024
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,GASOLINA COMUM,R$ / litro,"7,14",8/29/2024
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,GASOLINA ADITIVADA,R$ / litro,"7,24",8/29/2024
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,DIESEL S500,R$ / litro,"7,14",8/29/2024
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,DIESEL S10,R$ / litro,"7,19",8/29/2024
 06.003.183/0001-85,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,ETANOL,R$ / litro,"4,89",8/29/2024
 00.529.581/0001-53,AUTO POSTO AMAPA - EIRELI,POSTO AMAPÁ,VIA CHICO MENDES,3570,,AREAL,69906-119,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,"7,19",8/28/2024
 00.529.581/0001-53,AUTO POSTO AMAPA - EIRELI,POSTO AMAPÁ,VIA CHICO MENDES,3570,,AREAL,69906-119,RIO BRANCO,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,"7,29",8/28/2024
 00.529.581/0001-53,AUTO POSTO AMAPA - EIRELI,POSTO AMAPÁ,VIA CHICO MENDES,3570,,AREAL,69906-119,RIO BRANCO,ACRE,VIBRA,DIESEL S500,R$ / litro,"7,30",8/28/2024
 00.529.581/0001-53,AUTO POSTO AMAPA - EIRELI,POSTO AMAPÁ,VIA CHICO MENDES,3570,,AREAL,69906-119,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,"4,99",8/28/2024
 06.906.483/0001-74,POSTO VILLAGE LTDA.,POSTO VILLAGE,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,"115,00",8/28/2024
 06.906.483/0001-74,POSTO VILLAGE LTDA.,POSTO VILLAGE,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,"7,18",8/28/2024
 06.906.483/0001-74,POSTO VILLAGE LTDA.,POSTO VILLAGE,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,RIO BRANCO,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,"7,18",8/28/2024
 06.906.483/0001-74,POSTO VILLAGE LTDA.,POSTO VILLAGE,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,RIO BRANCO,ACRE,VIBRA,DIESEL S500,R$ / litro,"7,25",8/28/2024
 06.906.483/0001-74,POSTO VILLAGE LTDA.,POSTO VILLAGE,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,RIO BRANCO,ACRE,VIBRA,DIESEL S10,R$ / litro,"7,29",8/28/2024
 06.906.483/0001-74,POSTO VILLAGE LTDA.,POSTO VILLAGE,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,"4,97",8/28/2024
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,"115,00",8/28/2024
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,"7,17",8/28/2024
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,DIESEL S500,R$ / litro,"7,25",8/28/2024
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,DIESEL S10,R$ / litro,"7,29",8/28/2024
 06.321.359/0001-47,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,"4,80",8/28/2024
 01.198.443/0002-82,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,POSTO AVIARIO,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,"127,00",8/29/2024
 04.087.649/0001-42,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,"122,00",8/29/2024
 04.087.649/0001-42,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,"7,19",8/29/2024
 04.087.649/0001-42,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,"7,24",8/29/2024
 04.087.649/0001-42,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,"4,79",8/29/2024
 84.301.191/0001-11,LIDER AUTO POSTO LTDA,LIDER AUTO POSTO,RUA SERGIPE,276,,CENTRO,69900-072,RIO BRANCO,ACRE,ATEM' S,GASOLINA COMUM,R$ / litro,"7,19",8/28/2024
 84.301.191/0001-11,LIDER AUTO POSTO LTDA,LIDER AUTO POSTO,RUA SERGIPE,276,,CENTRO,69900-072,RIO BRANCO,ACRE,ATEM' S,GASOLINA ADITIVADA,R$ / litro,"7,39",8/28/2024
 84.301.191/0001-11,LIDER AUTO POSTO LTDA,LIDER AUTO POSTO,RUA SERGIPE,276,,CENTRO,69900-072,RIO BRANCO,ACRE,ATEM' S,DIESEL S10,R$ / litro,"7,39",8/28/2024
 84.301.191/0001-11,LIDER AUTO POSTO LTDA,LIDER AUTO POSTO,RUA SERGIPE,276,,CENTRO,69900-072,RIO BRANCO,ACRE,ATEM' S,ETANOL,R$ / litro,"4,99",8/28/2024
 14.412.076/0001-39,AUTO POSTO SANTO ANTONIO LTDA,AUTO POSTO SANTO ANTONIO LTDA,RUA ISAURA PARENTE,3265,,EST EXPERIMENTAL,69908-210,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,"124,00",8/28/2024
 14.412.076/0001-39,AUTO POSTO SANTO ANTONIO LTDA,AUTO POSTO SANTO ANTONIO LTDA,RUA ISAURA PARENTE,3265,,EST EXPERIMENTAL,69908-210,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,"7,17",8/28/2024
 14.412.076/0001-39,AUTO POSTO SANTO ANTONIO LTDA,AUTO POSTO SANTO ANTONIO LTDA,RUA ISAURA PARENTE,3265,,EST EXPERIMENTAL,69908-210,RIO BRANCO,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,"7,22",8/28/2024
